Name,Age,Nationality,Overall,Potential,Position
L. Messi,31,Argentina,94,94,RF
Cristiano Ronaldo,33,Portugal,94,94,ST
Neymar Jr,26,Brazil,92,93,LW
De Gea,27,Spain,91,93,GK
K. De Bruyne,27,Belgium,91,92,RCM
E. Hazard,27,Belgium,91,91,LF
L. Modri?,32,Croatia,91,91,RCM
L. Suárez,31,Uruguay,91,91,RS
Sergio Ramos,32,Spain,91,91,RCB
J. Oblak,25,Slovenia,90,93,GK
R. Lewandowski,29,Poland,90,90,ST
D. Godín,32,Uruguay,90,90,CB
David Silva,32,Spain,90,90,LCM
N. Kanté,27,France,89,90,LDM
P. Dybala,24,Argentina,89,94,LF
H. Kane,24,England,89,91,ST
A. Griezmann,27,France,89,90,CAM
T. Courtois,26,Belgium,89,90,GK
Sergio Busquets,29,Spain,89,89,CDM
E. Cavani,31,Uruguay,89,89,LS
M. Neuer,32,Germany,89,89,GK
S. Agüero,30,Argentina,89,89,ST
G. Chiellini,33,Italy,89,89,LCB
K. Mbappé,19,France,88,95,RM
M. Salah,26,Egypt,88,89,RM
Casemiro,26,Brazil,88,90,CDM
J. Rodríguez,26,Colombia,88,89,LAM
L. Insigne,27,Italy,88,88,LW
Isco,26,Spain,88,91,LW
C. Eriksen,26,Denmark,88,91,CAM
Coutinho,26,Brazil,88,89,LW
P. Aubameyang,29,Gabon,88,88,LM
M. Hummels,29,Germany,88,88,LCB
Marcelo,30,Brazil,88,88,LB
G. Bale,28,Wales,88,88,ST
H. Lloris,31,France,88,88,GK
G. Higuaín,30,Argentina,88,88,LS
Thiago Silva,33,Brazil,88,88,RCB
S. Handanovi?,33,Slovenia,88,88,GK
G. Buffon,40,Italy,88,88,GK
S. Umtiti,24,France,87,92,CB
M. Icardi,25,Argentina,87,90,ST
K. Koulibaly,27,Senegal,87,90,LCB
P. Pogba,25,France,87,91,RDM
K. Navas,31,Costa Rica,87,87,GK
R. Lukaku,25,Belgium,87,89,ST
C. Immobile,28,Italy,87,87,ST
Jordi Alba,29,Spain,87,87,LB
D. Mertens,31,Belgium,87,87,RF
J. Vertonghen,31,Belgium,87,87,LCB
M. Hamík,30,Slovakia,87,87,LCM
I. Rakiti?,30,Croatia,87,87,RCM
Piqué,31,Spain,87,87,RCB
L. Sané,22,Germany,86,92,LW
Bernardo Silva,23,Portugal,86,91,RW
